index,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
115,0.109,0.336,0.0,0.011,0.05,0.09,0.0,0.0,0.291,0.0,0.07,0.007,0.0,0.035,0.0,0.0,0.0
116,0.0,0.0,0.006,0.051,0.016,0.004,0.908,0.005,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.003,0.0
117,0.0,0.696,0.016,0.0,0.002,0.0,0.0,0.005,0.181,0.0,0.0,0.083,0.0,0.0,0.006,0.0,0.011
118,0.0,0.0,0.0,0.104,0.019,0.0,0.101,0.011,0.425,0.0,0.144,0.17,0.0,0.0,0.026,0.001,0.0
119,0.351,0.448,0.0,0.009,0.08,0.001,0.02,0.0,0.0,0.0,0.083,0.0,0.009,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.005,0.021,0.008,0.903,0.0,0.0,0.0,0.002,0.0,0.048,0.0,0.0,0.011,0.002
121,0.132,0.296,0.002,0.001,0.003,0.031,0.013,0.0,0.04,0.003,0.24,0.164,0.018,0.001,0.006,0.042,0.009
122,0.0,0.02,0.0,0.0,0.002,0.0,0.402,0.0,0.0,0.0,0.0,0.426,0.005,0.038,0.001,0.0,0.106
123,0.018,0.074,0.0,0.461,0.0,0.0,0.016,0.0,0.342,0.0,0.0,0.076,0.0,0.013,0.0,0.0,0.001
124,0.714,0.012,0.031,0.021,0.004,0.0,0.0,0.0,0.0,0.0,0.043,0.172,0.003,0.0,0.0,0.0,0.001
125,0.0,0.002,0.035,0.453,0.0,0.182,0.022,0.052,0.143,0.002,0.002,0.0,0.018,0.012,0.073,0.001,0.002
126,0.0,0.002,0.0,0.004,0.145,0.0,0.0,0.0,0.001,0.0,0.0,0.536,0.0,0.029,0.013,0.0,0.27
127,0.059,0.001,0.0,0.002,0.003,0.062,0.802,0.001,0.0,0.0,0.007,0.008,0.021,0.008,0.007,0.0,0.018
128,0.0,0.029,0.012,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.032,0.248,0.0,0.0,0.075,0.152,0.443
129,0.228,0.001,0.013,0.158,0.0,0.009,0.056,0.0,0.385,0.0,0.002,0.0,0.0,0.029,0.111,0.007,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.023,0.0,0.648,0.029,0.0,0.003,0.0,0.0
131,0.0,0.0,0.0,0.841,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.152
132,0.041,0.315,0.004,0.172,0.02,0.003,0.045,0.0,0.39,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
133,0.011,0.0,0.02,0.021,0.0,0.0,0.0,0.001,0.112,0.003,0.0,0.001,0.024,0.014,0.002,0.167,0.622
134,0.01,0.017,0.0,0.586,0.082,0.014,0.072,0.002,0.046,0.0,0.0,0.0,0.136,0.0,0.0,0.033,0.002
135,0.46,0.002,0.0,0.081,0.009,0.022,0.016,0.005,0.197,0.016,0.0,0.103,0.005,0.063,0.0,0.02,0.0
136,0.0,0.018,0.054,0.059,0.0,0.225,0.159,0.008,0.0,0.0,0.085,0.187,0.162,0.0,0.039,0.001,0.002
137,0.106,0.035,0.037,0.028,0.082,0.04,0.003,0.0,0.116,0.005,0.074,0.427,0.03,0.0,0.016,0.0,0.002
138,0.008,0.0,0.01,0.028,0.001,0.0,0.738,0.0,0.144,0.0,0.0,0.063,0.002,0.003,0.003,0.0,0.0
139,0.157,0.15,0.001,0.0,0.123,0.067,0.003,0.038,0.201,0.013,0.13,0.044,0.015,0.0,0.001,0.057,0.0
140,0.052,0.002,0.007,0.588,0.001,0.001,0.111,0.0,0.045,0.006,0.005,0.154,0.001,0.024,0.0,0.002,0.002
141,0.034,0.001,0.045,0.017,0.002,0.001,0.0,0.002,0.003,0.0,0.127,0.011,0.026,0.067,0.0,0.107,0.557
142,0.001,0.005,0.0,0.048,0.0,0.032,0.001,0.015,0.003,0.001,0.223,0.192,0.108,0.0,0.0,0.057,0.312
143,0.002,0.013,0.0,0.038,0.367,0.021,0.201,0.001,0.053,0.0,0.007,0.003,0.038,0.0,0.018,0.069,0.168
144,0.001,0.106,0.0,0.462,0.001,0.001,0.045,0.001,0.008,0.0,0.081,0.129,0.036,0.004,0.0,0.089,0.034
145,0.0,0.0,0.0,0.887,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0
146,0.031,0.001,0.0,0.066,0.0,0.0,0.098,0.007,0.0,0.0,0.02,0.682,0.096,0.0,0.0,0.0,0.0
147,0.006,0.0,0.006,0.266,0.279,0.11,0.012,0.041,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.276
148,0.0,0.017,0.0,0.115,0.0,0.052,0.245,0.0,0.335,0.002,0.032,0.03,0.153,0.009,0.009,0.0,0.0
149,0.234,0.109,0.006,0.462,0.162,0.013,0.001,0.0,0.0,0.0,0.007,0.005,0.0,0.001,0.001,0.0,0.0
150,0.0,0.671,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.011,0.183,0.0
151,0.056,0.001,0.0,0.002,0.091,0.0,0.008,0.0,0.21,0.0,0.0,0.002,0.157,0.006,0.001,0.199,0.266
152,0.0,0.004,0.001,0.001,0.326,0.004,0.001,0.004,0.0,0.024,0.0,0.0,0.0,0.003,0.099,0.0,0.533
153,0.0,0.136,0.0,0.0,0.127,0.0,0.0,0.011,0.015,0.0,0.05,0.004,0.022,0.04,0.0,0.089,0.506
154,0.056,0.386,0.0,0.07,0.219,0.066,0.131,0.024,0.044,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
155,0.0,0.001,0.008,0.004,0.0,0.0,0.059,0.0,0.0,0.026,0.221,0.107,0.048,0.038,0.0,0.472,0.015
156,0.008,0.36,0.011,0.411,0.0,0.011,0.154,0.0,0.005,0.0,0.0,0.037,0.002,0.0,0.0,0.0,0.001
157,0.116,0.014,0.0,0.069,0.0,0.0,0.365,0.0,0.005,0.019,0.0,0.217,0.0,0.038,0.002,0.156,0.0
158,0.0,0.0,0.006,0.0,0.0,0.001,0.756,0.0,0.0,0.004,0.233,0.0,0.0,0.0,0.0,0.0,0.0
159,0.094,0.0,0.024,0.001,0.155,0.004,0.0,0.0,0.001,0.0,0.173,0.461,0.017,0.001,0.0,0.068,0.0
160,0.001,0.006,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.007,0.404,0.501,0.002,0.0,0.0,0.002,0.069
161,0.008,0.82,0.0,0.006,0.002,0.0,0.0,0.001,0.057,0.0,0.05,0.024,0.0,0.0,0.004,0.0,0.027
162,0.261,0.042,0.0,0.058,0.0,0.0,0.425,0.0,0.045,0.011,0.001,0.0,0.0,0.008,0.0,0.149,0.0
163,0.237,0.0,0.021,0.006,0.007,0.0,0.0,0.001,0.0,0.006,0.204,0.033,0.013,0.0,0.117,0.354,0.0
164,0.486,0.033,0.008,0.005,0.033,0.003,0.0,0.0,0.419,0.003,0.004,0.0,0.002,0.001,0.001,0.001,0.0
165,0.001,0.004,0.001,0.136,0.051,0.001,0.115,0.041,0.005,0.001,0.392,0.01,0.0,0.034,0.002,0.0,0.204
166,0.0,0.0,0.002,0.0,0.018,0.0,0.595,0.002,0.0,0.0,0.0,0.225,0.111,0.038,0.008,0.0,0.0
167,0.0,0.001,0.03,0.059,0.326,0.09,0.0,0.0,0.004,0.0,0.0,0.161,0.0,0.001,0.004,0.0,0.324
168,0.212,0.0,0.0,0.0,0.02,0.107,0.0,0.0,0.479,0.0,0.166,0.001,0.0,0.0,0.0,0.014,0.0
169,0.0,0.0,0.0,0.0,0.0,0.064,0.095,0.0,0.726,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0
170,0.0,0.185,0.003,0.044,0.136,0.132,0.016,0.022,0.105,0.0,0.011,0.052,0.008,0.0,0.074,0.077,0.137
171,0.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.108,0.0,0.0,0.0,0.03
172,0.026,0.005,0.047,0.05,0.175,0.067,0.031,0.0,0.0,0.0,0.33,0.02,0.093,0.108,0.011,0.022,0.016
173,0.0,0.0,0.0,0.209,0.0,0.0,0.007,0.001,0.0,0.0,0.04,0.002,0.173,0.0,0.001,0.565,0.004
174,0.001,0.0,0.001,0.314,0.024,0.0,0.417,0.022,0.0,0.0,0.0,0.001,0.0,0.011,0.0,0.191,0.017
175,0.001,0.002,0.001,0.0,0.0,0.136,0.18,0.001,0.0,0.0,0.007,0.573,0.09,0.001,0.0,0.004,0.004
176,0.0,0.018,0.003,0.001,0.0,0.174,0.752,0.0,0.001,0.0,0.0,0.031,0.0,0.0,0.019,0.0,0.0
177,0.002,0.0,0.004,0.002,0.314,0.002,0.0,0.006,0.383,0.003,0.001,0.002,0.0,0.0,0.097,0.097,0.087
178,0.0,0.0,0.0,0.0,0.0,0.0,0.945,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.007,0.0
179,0.001,0.112,0.011,0.152,0.0,0.008,0.406,0.004,0.099,0.0,0.091,0.0,0.001,0.003,0.031,0.019,0.06
180,0.0,0.0,0.006,0.422,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.001,0.0,0.0,0.237,0.0
181,0.083,0.027,0.001,0.601,0.033,0.0,0.046,0.001,0.083,0.026,0.0,0.011,0.001,0.018,0.034,0.034,0.0
182,0.057,0.0,0.002,0.204,0.52,0.0,0.023,0.001,0.0,0.003,0.0,0.052,0.001,0.032,0.0,0.053,0.053
183,0.235,0.0,0.0,0.0,0.001,0.023,0.0,0.0,0.504,0.002,0.0,0.234,0.0,0.001,0.001,0.0,0.0
184,0.0,0.0,0.0,0.019,0.003,0.001,0.0,0.0,0.522,0.0,0.001,0.424,0.0,0.0,0.004,0.0,0.025
185,0.168,0.573,0.0,0.001,0.0,0.116,0.079,0.015,0.0,0.0,0.0,0.003,0.0,0.0,0.044,0.0,0.001
186,0.0,0.001,0.0,0.08,0.006,0.029,0.0,0.0,0.203,0.0,0.0,0.477,0.085,0.0,0.0,0.019,0.102
187,0.083,0.002,0.0,0.002,0.0,0.0,0.022,0.001,0.0,0.0,0.0,0.845,0.0,0.045,0.001,0.0,0.0
188,0.402,0.008,0.0,0.0,0.157,0.018,0.0,0.003,0.001,0.002,0.021,0.321,0.001,0.005,0.0,0.009,0.052
189,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.939,0.0,0.0,0.001,0.001,0.04,0.003,0.0,0.013
190,0.0,0.019,0.0,0.023,0.067,0.014,0.116,0.003,0.0,0.0,0.157,0.406,0.005,0.116,0.055,0.018,0.0
191,0.0,0.573,0.002,0.002,0.0,0.062,0.008,0.0,0.0,0.0,0.0,0.0,0.095,0.045,0.006,0.206,0.0
192,0.0,0.32,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.226,0.021,0.0,0.0,0.003,0.02,0.405
193,0.0,0.0,0.0,0.001,0.0,0.0,0.342,0.0,0.462,0.0,0.015,0.0,0.0,0.0,0.0,0.18,0.0
